user_id,application_id,review_status,reviewer,review_date
u228,app10,APPROVED,manager1,2026-01-16 02:35:09.752365
u206,app1,NOT_REVIEWED,,2025-07-06 02:35:09.752452
u232,app12,PENDING,manager2,2025-06-07 02:35:09.752510
u227,app18,APPROVED,manager2,2025-11-06 02:35:09.752561
u183,app16,NOT_REVIEWED,manager1,2026-03-04 02:35:09.752616
u219,app14,APPROVED,,2025-07-21 02:35:09.752668
u239,app2,APPROVED,,2026-02-24 02:35:09.752717
u232,app4,PENDING,,2026-03-06 02:35:09.752767
u223,app17,PENDING,manager2,2025-10-15 02:35:09.752817
u218,app4,PENDING,manager1,2025-05-07 02:35:09.752866
u115,app19,APPROVED,manager1,2025-04-26 02:35:09.752917
u108,app0,APPROVED,manager2,2025-06-06 02:35:09.752967
u192,app16,NOT_REVIEWED,manager1,2025-11-12 02:35:09.753016
u206,app2,PENDING,manager1,2026-02-26 02:35:09.753097
u119,app17,PENDING,manager1,2025-04-18 02:35:09.753150
u192,app16,PENDING,manager2,2025-04-19 02:35:09.753200
u130,app2,NOT_REVIEWED,manager1,2025-11-18 02:35:09.753247
u164,app15,PENDING,manager1,2026-02-12 02:35:09.753292
u234,app15,PENDING,manager2,2026-01-03 02:35:09.753338
u215,app3,PENDING,manager2,2025-09-12 02:35:09.753382
u178,app3,APPROVED,,2026-03-06 02:35:09.753429
u237,app9,NOT_REVIEWED,manager1,2025-11-08 02:35:09.753475
u101,app11,PENDING,manager1,2026-01-16 02:35:09.753521
u176,app5,PENDING,manager1,2025-12-01 02:35:09.753568
u222,app4,NOT_REVIEWED,manager1,2025-07-24 02:35:09.753615
u164,app17,APPROVED,manager1,2026-03-01 02:35:09.753660
u179,app11,APPROVED,manager1,2025-07-06 02:35:09.753705
u212,app3,APPROVED,manager1,2025-03-10 02:35:09.753751
u226,app16,NOT_REVIEWED,manager1,2025-04-12 02:35:09.753796
u108,app5,PENDING,manager1,2025-05-05 02:35:09.753844
u230,app12,NOT_REVIEWED,manager2,2025-12-24 02:35:09.753891
u199,app9,PENDING,manager1,2025-07-14 02:35:09.753935
u212,app5,NOT_REVIEWED,,2025-10-02 02:35:09.753981
u126,app14,PENDING,manager2,2025-09-24 02:35:09.754023
u199,app13,APPROVED,manager2,2025-10-08 02:35:09.754065
u232,app6,NOT_REVIEWED,,2025-03-30 02:35:09.754111
u145,app5,APPROVED,manager1,2025-09-13 02:35:09.754156
u155,app9,PENDING,,2025-04-03 02:35:09.754198
