user_id,application_id,role_id,assigned_date,last_login,assignment_status
u202,app16,role29,2023-01-01,2026-01-18 02:35:09.540139,ACTIVE
u206,app7,role45,2023-01-01,2025-09-11 02:35:09.541893,ACTIVE
u112,app11,role42,2023-01-01,2025-11-19 02:35:09.542822,ACTIVE
u227,app3,role48,2023-01-01,2026-02-13 02:35:09.543452,DISABLED
u145,app7,role41,2023-01-01,2025-11-12 02:35:09.544218,ACTIVE
u188,app7,role41,2023-01-01,2025-10-06 02:35:09.544954,DISABLED
u170,app9,role21,2023-01-01,2026-03-06 02:35:09.545608,ACTIVE
u213,app8,role26,2023-01-01,2025-10-06 02:35:09.546472,DISABLED
u103,app19,role25,2023-01-01,2025-11-12 02:35:09.547230,ACTIVE
u115,app16,role19,2023-01-01,2026-01-17 02:35:09.547770,ACTIVE
u234,app14,role4,2023-01-01,2025-10-19 02:35:09.548343,ACTIVE
u198,app19,role12,2023-01-01,2026-03-03 02:35:09.548826,DISABLED
u114,app9,role21,2023-01-01,2026-03-01 02:35:09.549234,ACTIVE
u207,app16,role19,2023-01-01,2026-02-07 02:35:09.549800,ACTIVE
u156,app16,role29,2023-01-01,2025-09-20 02:35:09.550323,ACTIVE
u193,app15,role47,2023-01-01,2026-03-09 02:35:09.551083,ACTIVE
u191,app7,role57,2023-01-01,2026-01-12 02:35:09.551716,DISABLED
u246,app2,role53,2023-01-01,2026-03-08 02:35:09.552159,DISABLED
u188,app11,role42,2023-01-01,2026-01-30 02:35:09.553155,ACTIVE
u209,app15,role15,2023-01-01,2025-12-21 02:35:09.553876,ACTIVE
u136,app18,role20,2023-01-01,2025-10-22 02:35:09.554706,DISABLED
u218,app17,role33,2023-01-01,2025-10-05 02:35:09.555426,ACTIVE
u181,app16,role19,2023-01-01,2025-09-28 02:35:09.556145,DISABLED
u200,app18,role17,2023-01-01,2025-11-19 02:35:09.556777,ACTIVE
u105,app19,role54,2023-01-01,2026-02-17 02:35:09.557328,DISABLED
u226,app19,role54,2023-01-01,2025-12-19 02:35:09.558435,DISABLED
u185,app2,role53,2023-01-01,2026-01-01 02:35:09.559485,ACTIVE
u104,app7,role40,2023-01-01,2025-12-31 02:35:09.560125,ACTIVE
u174,app8,role39,2023-01-01,2025-12-05 02:35:09.560726,ACTIVE
u216,app11,role11,2023-01-01,2025-11-13 02:35:09.561321,DISABLED
u238,app3,role48,2023-01-01,2025-10-31 02:35:09.561732,ACTIVE
u102,app13,role9,2023-01-01,2026-02-05 02:35:09.562074,ACTIVE
u214,app11,role34,2023-01-01,2025-10-29 02:35:09.562698,ACTIVE
u228,app7,role50,2023-01-01,2025-10-18 02:35:09.563133,ACTIVE
u209,app11,role35,2023-01-01,2025-11-07 02:35:09.563473,ACTIVE
u206,app14,role0,2023-01-01,2026-01-07 02:35:09.563869,ACTIVE
u215,app5,role18,2023-01-01,2025-10-26 02:35:09.564233,DISABLED
u111,app2,role1,2023-01-01,2026-03-07 02:35:09.564572,ACTIVE
u140,app14,role4,2023-01-01,2025-10-19 02:35:09.564894,DISABLED
u229,app15,role47,2023-01-01,2025-10-17 02:35:09.565298,DISABLED
u193,app5,role18,2023-01-01,2025-12-07 02:35:09.565677,ACTIVE
u189,app7,role50,2023-01-01,2025-10-28 02:35:09.566026,ACTIVE
u171,app13,role9,2023-01-01,2026-01-28 02:35:09.566341,ACTIVE
u167,app8,role26,2023-01-01,2025-11-02 02:35:09.566659,ACTIVE
u133,app15,role55,2023-01-01,2025-11-01 02:35:09.567016,DISABLED
u191,app9,role3,2023-01-01,2025-11-13 02:35:09.567382,ACTIVE
u236,app15,role14,2023-01-01,2025-12-30 02:35:09.567754,ACTIVE
u207,app8,role39,2023-01-01,2025-12-13 02:35:09.568116,ACTIVE
u204,app11,role28,2023-01-01,2026-02-10 02:35:09.568464,DISABLED
u198,app17,role32,2023-01-01,2025-12-20 02:35:09.568797,DISABLED
u219,app9,role6,2023-01-01,2025-12-06 02:35:09.569331,ACTIVE
u174,app11,role42,2023-01-01,2025-09-27 02:35:09.569821,ACTIVE
u162,app0,role46,2023-01-01,2025-10-11 02:35:09.570694,ACTIVE
u219,app3,role7,2023-01-01,2026-02-01 02:35:09.571369,ACTIVE
u140,app2,role53,2023-01-01,2025-09-12 02:35:09.571729,ACTIVE
u228,app15,role55,2023-01-01,2026-01-08 02:35:09.572077,ACTIVE
