role_id,role_name,application_id,privilege_level
role0,ROLE_0,app14,STANDARD
role1,ROLE_1,app2,STANDARD
role2,ROLE_2,app7,PRIVILEGED
role3,ROLE_3,app9,PRIVILEGED
role4,ROLE_4,app14,READ_ONLY
role5,ROLE_5,app18,READ_ONLY
role6,ROLE_6,app9,STANDARD
role7,ROLE_7,app3,STANDARD
role8,ROLE_8,app3,READ_ONLY
role9,ROLE_9,app13,PRIVILEGED
role10,ROLE_10,app14,PRIVILEGED
role11,ROLE_11,app11,STANDARD
role12,ROLE_12,app19,READ_ONLY
role13,ROLE_13,app7,READ_ONLY
role14,ROLE_14,app15,READ_ONLY
role15,ROLE_15,app15,STANDARD
role16,ROLE_16,app4,PRIVILEGED
role17,ROLE_17,app18,READ_ONLY
role18,ROLE_18,app5,STANDARD
role19,ROLE_19,app16,STANDARD
role20,ROLE_20,app18,STANDARD
role21,ROLE_21,app9,STANDARD
role22,ROLE_22,app4,PRIVILEGED
role23,ROLE_23,app1,PRIVILEGED
role24,ROLE_24,app12,PRIVILEGED
role25,ROLE_25,app19,READ_ONLY
role26,ROLE_26,app8,STANDARD
role27,ROLE_27,app15,READ_ONLY
role28,ROLE_28,app11,READ_ONLY
role29,ROLE_29,app16,PRIVILEGED
role30,ROLE_30,app1,READ_ONLY
role31,ROLE_31,app12,PRIVILEGED
role32,ROLE_32,app17,PRIVILEGED
role33,ROLE_33,app17,PRIVILEGED
role34,ROLE_34,app11,STANDARD
role35,ROLE_35,app11,PRIVILEGED
role36,ROLE_36,app7,PRIVILEGED
role37,ROLE_37,app19,PRIVILEGED
role38,ROLE_38,app15,READ_ONLY
role39,ROLE_39,app8,PRIVILEGED
role40,ROLE_40,app7,STANDARD
role41,ROLE_41,app7,READ_ONLY
role42,ROLE_42,app11,PRIVILEGED
role43,ROLE_43,app12,READ_ONLY
role44,ROLE_44,app16,STANDARD
role45,ROLE_45,app7,READ_ONLY
role46,ROLE_46,app0,READ_ONLY
role47,ROLE_47,app15,STANDARD
role48,ROLE_48,app3,STANDARD
role49,ROLE_49,app2,STANDARD
role50,ROLE_50,app7,STANDARD
role51,ROLE_51,app8,STANDARD
role52,ROLE_52,app19,READ_ONLY
role53,ROLE_53,app2,READ_ONLY
role54,ROLE_54,app19,READ_ONLY
role55,ROLE_55,app15,PRIVILEGED
role56,ROLE_56,app9,READ_ONLY
role57,ROLE_57,app7,PRIVILEGED
role58,ROLE_58,app19,READ_ONLY
role59,ROLE_59,app19,READ_ONLY
