user_id,full_name,department,manager,employment_type,status,start_date,end_date
u100,User_0,Legal,manager_1,CONTRACTOR,ACTIVE,2022-01-01,
u101,User_1,HR,manager_2,EMPLOYEE,ACTIVE,2022-01-01,
u102,User_2,HR,manager_8,EMPLOYEE,ACTIVE,2022-01-01,
u103,User_3,HR,manager_10,CONTRACTOR,ACTIVE,2022-01-01,
u104,User_4,Compliance,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u105,User_5,Legal,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
u106,User_6,Compliance,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u107,User_7,HR,manager_4,CONTRACTOR,ACTIVE,2022-01-01,
u108,User_8,HR,manager_5,CONTRACTOR,TERMINATED,2022-01-01,
u109,User_9,Operations,manager_9,CONTRACTOR,ACTIVE,2022-01-01,
u110,User_10,Logistics,manager_10,EMPLOYEE,ACTIVE,2022-01-01,
u111,User_11,HR,manager_8,CONTRACTOR,ACTIVE,2022-01-01,
u112,User_12,Procurement,manager_8,EMPLOYEE,ACTIVE,2022-01-01,
u113,User_13,IT,manager_5,CONTRACTOR,ACTIVE,2022-01-01,
u114,User_14,IT,manager_2,EMPLOYEE,TERMINATED,2022-01-01,
u115,User_15,IT,manager_3,EMPLOYEE,ACTIVE,2022-01-01,
u116,User_16,Procurement,manager_1,CONTRACTOR,TERMINATED,2022-01-01,
u117,User_17,HR,manager_4,CONTRACTOR,ACTIVE,2022-01-01,
u118,User_18,Operations,manager_5,EMPLOYEE,ACTIVE,2022-01-01,
u119,User_19,Compliance,manager_5,EMPLOYEE,ACTIVE,2022-01-01,
u120,User_20,Logistics,manager_10,CONTRACTOR,ACTIVE,2022-01-01,
u121,User_21,Procurement,manager_4,CONTRACTOR,TERMINATED,2022-01-01,
u122,User_22,HR,manager_8,EMPLOYEE,ACTIVE,2022-01-01,
u123,User_23,Legal,manager_2,CONTRACTOR,ACTIVE,2022-01-01,
u124,User_24,Legal,manager_10,EMPLOYEE,ACTIVE,2022-01-01,
u125,User_25,HR,manager_10,CONTRACTOR,ACTIVE,2022-01-01,
u126,User_26,HR,manager_7,CONTRACTOR,TERMINATED,2022-01-01,
u127,User_27,Logistics,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
u128,User_28,IT,manager_6,EMPLOYEE,ACTIVE,2022-01-01,
u129,User_29,IT,manager_7,CONTRACTOR,ACTIVE,2022-01-01,
