gap_type,user,application,role,severity
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_102,HR Analytics,ROLE_29,HIGH
DORMANT_ACCOUNT,User_106,AML Monitoring,ROLE_45,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_12,Legal Repository,ROLE_42,HIGH
DORMANT_ACCOUNT,User_88,AML Monitoring,ROLE_41,MEDIUM
ORPHANED_ACCOUNT,User_70,Procurement Hub,ROLE_21,HIGH
MISSING_REVIEW,User_70,Procurement Hub,ROLE_21,MEDIUM
DORMANT_ACCOUNT,User_113,Board Portal,ROLE_26,MEDIUM
DORMANT_ACCOUNT,User_134,Risk Dashboard,ROLE_4,MEDIUM
ORPHANED_ACCOUNT,User_14,Procurement Hub,ROLE_21,HIGH
DORMANT_ACCOUNT,User_56,HR Analytics,ROLE_29,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_56,HR Analytics,ROLE_29,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_91,AML Monitoring,ROLE_57,HIGH
ORPHANED_ACCOUNT,User_88,Legal Repository,ROLE_42,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_88,Legal Repository,ROLE_42,HIGH
ORPHANED_ACCOUNT,User_109,Vendor Portal,ROLE_15,HIGH
DORMANT_ACCOUNT,User_36,Container Tracking,ROLE_20,MEDIUM
ORPHANED_ACCOUNT,User_118,Finance BI,ROLE_33,HIGH
DORMANT_ACCOUNT,User_118,Finance BI,ROLE_33,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_118,Finance BI,ROLE_33,HIGH
DORMANT_ACCOUNT,User_81,HR Analytics,ROLE_19,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_74,Board Portal,ROLE_39,HIGH
DORMANT_ACCOUNT,User_138,Salesforce,ROLE_48,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_2,Fleet Operations,ROLE_9,HIGH
DORMANT_ACCOUNT,User_114,Legal Repository,ROLE_34,MEDIUM
ORPHANED_ACCOUNT,User_128,AML Monitoring,ROLE_50,HIGH
DORMANT_ACCOUNT,User_128,AML Monitoring,ROLE_50,MEDIUM
ORPHANED_ACCOUNT,User_109,Legal Repository,ROLE_35,HIGH
DORMANT_ACCOUNT,User_109,Legal Repository,ROLE_35,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_109,Legal Repository,ROLE_35,HIGH
DORMANT_ACCOUNT,User_115,Vessel Tracking,ROLE_18,MEDIUM
MISSING_REVIEW,User_115,Vessel Tracking,ROLE_18,MEDIUM
DORMANT_ACCOUNT,User_40,Risk Dashboard,ROLE_4,MEDIUM
DORMANT_ACCOUNT,User_129,Vendor Portal,ROLE_47,MEDIUM
DORMANT_ACCOUNT,User_89,AML Monitoring,ROLE_50,MEDIUM
MISSING_REVIEW,User_71,Fleet Operations,ROLE_9,MEDIUM
DORMANT_ACCOUNT,User_67,Board Portal,ROLE_26,MEDIUM
DORMANT_ACCOUNT,User_33,Vendor Portal,ROLE_55,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_33,Vendor Portal,ROLE_55,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_91,Procurement Hub,ROLE_3,HIGH
ORPHANED_ACCOUNT,User_136,Vendor Portal,ROLE_14,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_107,Board Portal,ROLE_39,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_98,Finance BI,ROLE_32,HIGH
ORPHANED_ACCOUNT,User_119,Procurement Hub,ROLE_6,HIGH
DORMANT_ACCOUNT,User_74,Legal Repository,ROLE_42,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_74,Legal Repository,ROLE_42,HIGH
DORMANT_ACCOUNT,User_62,SAP Finance,ROLE_46,MEDIUM
ORPHANED_ACCOUNT,User_119,Salesforce,ROLE_7,HIGH
DORMANT_ACCOUNT,User_40,ServiceNow,ROLE_53,MEDIUM
ORPHANED_ACCOUNT,User_128,Vendor Portal,ROLE_55,HIGH
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_128,Vendor Portal,ROLE_55,HIGH
DORMANT_ACCOUNT,User_103,ServiceNow,ROLE_49,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_47,Vendor Portal,ROLE_55,HIGH
DORMANT_ACCOUNT,User_102,Legal Repository,ROLE_42,MEDIUM
PRIVILEGED_ACCESS_WITHOUT_REVIEW,User_102,Legal Repository,ROLE_42,HIGH
ORPHANED_ACCOUNT,User_132,Salesforce,ROLE_48,HIGH
